REFERANS_YIL;BULTEN_NO;KAPSAMICI_KAPSAMDISI;BT_BILG_MASAUSTU;BT_BILG_DIZUSTU;BT_TABLET;BT_TEL_CEP;BT_DIGER_CIHAZ;HANE_INTERNET_ERISIM_DURUMU;hane_aylik_gelir_grp_5;HHB;IBBS_1;HANE_FAKTOR
2023;10382;1;2;1;1;1;2;1;2;5;TR1;2857.515435
2023;10383;1;2;2;2;1;2;1;2;1;TR1;4087.74581
2023;10384;1;1;1;2;1;1;1;5;4;TR1;4074.021798
2023;10385;1;2;2;1;1;1;1;3;4;TR1;2332.893891
2023;10386;1;1;1;2;1;2;1;5;4;TR1;5406.53556
2023;10387;1;2;1;2;1;1;1;5;4;TR1;3524.671049
2023;10388;1;2;2;2;1;2;1;2;1;TR1;4896.837443
2023;10389;1;2;2;2;1;2;1;2;6;TR1;5905.116775
2023;10391;1;1;1;1;1;1;1;4;3;TR1;3385.486429
2023;10392;1;2;2;2;1;2;1;3;3;TR1;3809.217624
2023;10393;1;2;2;2;1;2;1;2;1;TR1;4087.74581
2023;10394;1;2;1;2;1;2;1;4;2;TR1;4007.797612
2023;10395;1;1;1;2;1;1;1;2;4;TR1;4215.246351
2023;10396;1;1;1;1;1;2;1;4;6;TR1;7247.198453
2023;10397;1;2;1;2;1;2;1;3;3;TR1;3847.276796
2023;10398;1;2;1;1;1;1;1;4;5;TR1;4133.389627
2023;10399;1;2;2;1;1;1;1;4;4;TR1;2911.824609
2023;10402;1;2;2;2;1;1;1;4;5;TR1;3220.567577
2023;10403;1;2;2;2;1;2;1;1;1;TR1;4087.74581
2023;10404;1;2;2;2;1;2;1;4;5;TR1;3887.465871
2023;10406;1;1;2;2;1;1;1;3;5;TR1;4318.093979
2023;10407;1;2;1;1;1;1;1;3;4;TR1;3387.392887
2023;10408;1;2;2;2;1;2;1;1;3;TR1;3263.070414
2023;10409;1;2;1;2;1;1;1;1;2;TR1;3426.489424
2023;10411;1;1;2;2;1;1;1;3;4;TR1;3524.671049
2023;10412;1;2;1;1;1;2;1;2;1;TR1;4398.830348
2023;10414;1;1;2;2;1;1;1;4;4;TR1;3664.506443
2023;10415;1;2;1;2;1;2;1;3;4;TR1;2682.299704
2023;10417;1;2;1;1;1;1;1;3;6;TR1;4963.565246
2023;10418;1;2;1;2;1;1;1;5;1;TR1;4852.032646
2023;10419;1;1;1;1;1;1;1;5;3;TR1;3847.276796
2023;10421;1;2;2;2;1;2;1;3;1;TR1;4398.830348
2023;10422;1;2;1;2;1;1;1;3;4;TR1;4974.770398
2023;10423;1;2;2;1;1;2;1;5;6;TR1;6071.286436
2023;10424;1;1;2;2;1;2;1;5;4;TR1;5847.26887
2023;10425;1;2;2;1;1;2;1;1;5;TR1;3916.435846
2023;10426;1;2;1;2;1;1;1;4;1;TR1;4034.256095
2023;10427;1;2;2;2;1;2;1;2;4;TR1;2870.842678
2023;10428;1;2;2;1;1;2;1;2;3;TR1;3281.747408
2023;10429;1;2;1;2;1;1;1;5;4;TR1;4576.91591
