BULTEN_NO,BT_BILG_MASAUSTU,BT_BILG_DIZUSTU,BT_TABLET,BT_TEL_CEP,BT_DIGER_CIHAZ,SON_KULLANIM_ETICARET,YAS,hane_aylik_gelir_grp_5,E_TICARET_YAPTI_MI
225910,2,1,2,1,2,1.0,51,3,1
22602,2,2,2,1,2,90.0,38,2,0
22604,2,2,2,1,2,90.0,59,1,0
22606,2,2,2,1,2,90.0,44,3,0
22608,2,2,2,1,2,90.0,50,3,0
22608,2,2,2,1,2,3.0,27,3,1
22608,2,2,2,1,2,90.0,18,3,0
226010,2,2,2,1,2,90.0,58,2,0
22612,2,2,2,1,2,1.0,74,1,1
22612,2,2,2,1,2,90.0,66,1,0
22614,2,2,2,1,2,90.0,50,4,0
22614,2,2,2,1,2,90.0,50,4,0
22614,2,2,2,1,2,1.0,24,4,1
22614,2,2,2,1,2,2.0,28,4,1
22615,2,1,2,1,2,1.0,22,3,1
22615,2,1,2,1,2,90.0,48,3,0
22615,2,1,2,1,2,90.0,46,3,0
22616,2,1,1,1,2,1.0,21,1,1
22616,2,1,1,1,2,90.0,45,1,0
22618,2,2,2,1,2,90.0,62,1,0
22619,2,2,2,1,2,90.0,64,1,0
22619,2,2,2,1,2,90.0,59,1,0
22622,2,2,2,1,2,90.0,59,2,0
22623,2,2,2,1,2,90.0,73,2,0
22623,2,2,2,1,2,90.0,71,2,0
22624,2,2,2,1,2,90.0,70,1,0
22626,2,2,2,1,2,90.0,64,1,0
22627,2,2,2,1,2,90.0,60,1,0
226210,2,2,2,1,2,90.0,58,2,0
22632,2,1,2,1,1,90.0,28,4,0
22632,2,1,2,1,1,2.0,28,4,1
22632,2,1,2,1,1,1.0,29,4,1
22632,2,1,2,1,1,1.0,30,4,1
22633,2,2,2,1,2,90.0,57,4,0
22633,2,2,2,1,2,90.0,34,4,0
22633,2,2,2,1,2,90.0,57,4,0
22633,2,2,2,1,2,1.0,31,4,1
22633,2,2,2,1,2,90.0,38,4,0
22634,2,1,2,1,2,1.0,42,3,1
22634,2,1,2,1,2,1.0,33,3,1
22636,2,2,2,1,2,90.0,57,5,0
22636,2,2,2,1,2,1.0,30,5,1
22636,2,2,2,1,2,90.0,52,5,0
22637,2,1,1,1,2,1.0,42,5,1
22637,2,1,1,1,2,2.0,37,5,1
22638,2,1,2,1,2,90.0,57,4,0
22638,2,1,2,1,2,90.0,37,4,0
22638,2,1,2,1,2,90.0,60,4,0
22638,2,1,2,1,2,1.0,36,4,1
22639,1,1,2,1,2,90.0,63,3,0
22639,1,1,2,1,2,90.0,63,3,0
22639,1,1,2,1,2,90.0,44,3,0
226310,2,1,1,1,1,90.0,42,3,0
22641,2,2,2,1,2,90.0,32,5,0
22641,2,2,2,1,2,90.0,28,5,0
22642,2,2,2,1,2,90.0,36,1,0
22643,2,2,2,1,2,90.0,41,1,0
22643,2,2,2,1,2,90.0,16,1,0
22644,2,2,2,1,2,90.0,50,1,0
22644,2,2,2,1,2,90.0,18,1,0
22645,2,2,2,1,2,90.0,34,1,0
22645,2,2,2,1,2,90.0,29,1,0
22646,2,2,2,1,2,90.0,17,1,0
22647,2,2,2,1,2,90.0,25,1,0
22647,2,2,2,1,2,90.0,46,1,0
22647,2,2,2,1,2,1.0,19,1,1
22649,2,2,2,1,2,2.0,29,1,1
226410,2,2,2,1,2,90.0,25,3,0
226410,2,2,2,1,2,90.0,24,3,0
22651,2,1,1,1,2,2.0,50,5,1
22651,2,1,1,1,2,1.0,24,5,1
22652,2,1,2,1,1,90.0,49,5,0
22652,2,1,2,1,1,1.0,27,5,1
22652,2,1,2,1,1,90.0,47,5,0
22652,2,1,2,1,1,1.0,16,5,1
22654,2,1,2,1,1,1.0,28,5,1
22654,2,1,2,1,1,90.0,60,5,0
22654,2,1,2,1,1,90.0,57,5,0
22655,1,1,2,1,1,1.0,53,3,1
22656,2,1,2,1,1,1.0,34,4,1
22656,2,1,2,1,1,1.0,27,4,1
22658,1,2,2,1,2,90.0,50,1,0
22661,2,1,2,1,1,1.0,43,4,1
22661,2,1,2,1,1,1.0,35,4,1
22662,2,1,2,1,2,2.0,33,5,1
22662,2,1,2,1,2,1.0,33,5,1
22664,2,2,2,1,2,1.0,30,5,1
22665,2,1,2,1,1,1.0,43,5,1
22665,2,1,2,1,1,1.0,29,5,1
22666,2,1,2,1,1,90.0,51,2,0
22666,2,1,2,1,1,1.0,23,2,1
22666,2,1,2,1,1,90.0,58,2,0
22667,2,2,1,1,1,1.0,57,5,1
22668,1,2,2,1,1,1.0,61,4,1
22668,1,2,2,1,1,1.0,51,4,1
22668,1,2,2,1,1,1.0,23,4,1
22668,1,2,2,1,1,1.0,18,4,1
22669,2,2,2,1,1,1.0,47,3,1
22669,2,2,2,1,1,90.0,33,3,0
226610,2,2,1,1,1,1.0,42,3,1
22672,2,2,1,1,1,1.0,41,3,1
22672,2,2,1,1,1,1.0,37,3,1
22672,2,2,1,1,1,1.0,17,3,1
22673,2,2,2,1,2,1.0,23,2,1
22673,2,2,2,1,2,1.0,21,2,1
22674,2,2,2,1,2,1.0,25,1,1
22675,2,2,2,1,1,90.0,54,1,0
22675,2,2,2,1,1,1.0,20,1,1
22675,2,2,2,1,1,90.0,48,1,0
22676,2,2,2,1,1,1.0,44,5,1
22676,2,2,2,1,1,90.0,57,5,0
22677,2,1,2,1,1,1.0,44,5,1
22677,2,1,2,1,1,90.0,42,5,0
22677,2,1,2,1,1,1.0,20,5,1
22679,2,2,2,1,1,90.0,32,1,0
22679,2,2,2,1,1,1.0,24,1,1
226710,2,2,2,1,2,2.0,36,4,1
226710,2,2,2,1,2,90.0,44,4,0
22681,2,2,2,1,2,90.0,30,2,0
22681,2,2,2,1,2,1.0,24,2,1
22682,2,2,2,1,2,90.0,45,2,0
22683,2,2,2,1,2,1.0,38,5,1
22684,2,1,2,1,2,1.0,51,1,1
22685,1,1,2,1,2,1.0,29,5,1
22686,2,2,2,1,2,1.0,36,4,1
22686,2,2,2,1,2,1.0,39,4,1
22688,2,2,2,1,2,90.0,52,1,0
22689,2,1,1,1,2,90.0,67,5,0
22689,2,1,1,1,2,1.0,36,5,1
22689,2,1,1,1,2,1.0,40,5,1
226810,2,2,2,1,2,1.0,43,5,1
22693,2,2,2,1,1,1.0,58,5,1
22693,2,2,2,1,1,90.0,58,5,0
22693,2,2,2,1,1,1.0,31,5,1
22694,2,1,2,1,2,1.0,22,2,1
22694,2,1,2,1,2,1.0,18,2,1
22694,2,1,2,1,2,90.0,44,2,0
22695,2,1,2,1,2,2.0,37,3,1
22696,2,1,2,1,1,1.0,31,3,1
22697,2,1,2,1,1,1.0,29,5,1
22697,2,1,2,1,1,1.0,27,5,1
22698,1,2,1,1,2,90.0,28,3,0
22698,1,2,1,1,2,90.0,19,3,0
22699,1,1,2,1,2,1.0,23,3,1
226910,2,2,2,1,2,1.0,42,2,1
22702,2,2,2,1,2,90.0,57,3,0
22702,2,2,2,1,2,90.0,55,3,0
22703,1,2,2,1,2,2.0,58,3,1
22703,1,2,2,1,2,90.0,48,3,0
22704,2,1,2,1,1,90.0,64,1,0
22704,2,1,2,1,1,90.0,31,1,0
22704,2,1,2,1,1,90.0,59,1,0
22706,2,2,2,1,2,90.0,73,3,0
22706,2,2,2,1,2,90.0,67,3,0
22707,2,1,2,1,1,1.0,27,1,1
227010,2,2,2,1,2,2.0,33,4,1
22713,2,2,2,1,2,90.0,72,1,0
22713,2,2,2,1,2,90.0,68,1,0
22714,2,2,2,1,2,90.0,60,3,0
22715,2,2,2,1,2,90.0,54,1,0
22715,2,2,2,1,2,90.0,52,1,0
22715,2,2,2,1,2,90.0,16,1,0
22716,2,2,2,1,2,1.0,55,2,1
22721,1,2,1,1,1,90.0,48,1,0
22722,2,2,2,1,2,90.0,60,1,0
22723,2,2,2,1,2,90.0,63,4,0
22723,2,2,2,1,2,90.0,60,4,0
22727,2,2,2,1,2,90.0,43,3,0
22728,2,2,2,1,2,90.0,56,3,0
22728,2,2,2,1,2,90.0,55,3,0
22729,2,2,2,1,2,90.0,67,2,0
227210,2,2,1,1,2,1.0,16,1,1
22731,2,2,2,1,2,90.0,52,1,0
22733,2,1,2,1,2,90.0,57,5,0
22733,2,1,2,1,2,90.0,25,5,0
22733,2,1,2,1,2,90.0,18,5,0
22738,2,2,2,1,2,2.0,42,3,1
22738,2,2,2,1,2,1.0,37,3,1
22743,2,2,2,1,2,90.0,62,1,0
22744,2,2,2,1,2,90.0,57,1,0
22746,2,2,2,1,2,90.0,60,2,0
22746,2,2,2,1,2,90.0,59,2,0
22747,2,2,2,1,2,90.0,71,1,0
22748,2,2,2,1,2,90.0,42,1,0
22749,2,2,2,1,2,90.0,30,3,0
227410,2,2,2,1,1,1.0,27,4,1
22751,2,2,2,1,2,90.0,42,1,0
22752,2,2,2,1,2,90.0,18,1,0
22753,1,2,2,1,1,90.0,45,3,0
22753,1,2,2,1,1,1.0,19,3,1
22753,1,2,2,1,1,90.0,19,3,0
22754,2,2,2,1,2,90.0,71,1,0
22754,2,2,2,1,2,90.0,67,1,0
22755,2,2,2,1,2,90.0,65,1,0
22755,2,2,2,1,2,90.0,59,1,0
22756,1,2,2,1,2,90.0,59,2,0
22756,1,2,2,1,2,1.0,39,2,1
22759,2,2,2,1,2,90.0,60,1,0
227510,2,2,2,1,2,1.0,20,1,1
227510,2,2,2,1,2,90.0,59,1,0
227510,2,2,2,1,2,1.0,17,1,1
22761,2,2,2,1,2,90.0,34,1,0
22762,2,2,2,1,2,90.0,39,1,0
22764,2,2,2,1,2,1.0,35,2,1
22765,2,2,2,1,2,90.0,36,1,0
22765,2,2,2,1,2,1.0,35,1,1
22766,2,2,2,1,2,2.0,50,3,1
22766,2,2,2,1,2,1.0,21,3,1
22766,2,2,2,1,2,90.0,19,3,0
22766,2,2,2,1,2,90.0,44,3,0
22768,2,2,2,1,2,2.0,24,3,1
22769,2,2,2,1,2,90.0,63,3,0
22769,2,2,2,1,2,90.0,42,3,0
22769,2,2,2,1,2,90.0,44,3,0
227610,2,2,2,1,2,90.0,52,2,0
227610,2,2,2,1,2,90.0,49,2,0
22771,2,2,2,1,2,90.0,30,1,0
22773,2,2,1,1,2,1.0,32,2,1
22773,2,2,1,1,2,1.0,27,2,1
22774,2,2,2,1,1,90.0,37,2,0
22774,2,2,2,1,1,90.0,28,2,0
22775,2,2,2,1,2,90.0,58,2,0
22775,2,2,2,1,2,90.0,17,2,0
22775,2,2,2,1,2,90.0,54,2,0
22778,2,2,2,1,2,90.0,50,2,0
22778,2,2,2,1,2,1.0,22,2,1
22779,1,2,2,1,2,1.0,29,5,1
22779,1,2,2,1,2,1.0,29,5,1
22781,2,2,2,1,2,90.0,59,1,0
